/AwakeEventData/RPADA.BB4.RQNI.412432,"[(u'MEAS.I', <Closed HDF5 dataset>), (u'REF.I', <Closed HDF5 dataset>)]"
/AwakeEventData/BTV.TT41.412426_MASK_H,"[(u'Acquisition', <Closed HDF5 group>)]"
/AwakeEventData/BTV.TT41.412426_MASK_V,"[(u'Acquisition', <Closed HDF5 group>)]"
/AwakeEventData/BOVWA.03TT41.CAM3,"[(u'ExtractionImage', <Closed HDF5 group>), (u'PublishedSettings', <Closed HDF5 group>)]"
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage,"[(u'beamIntensity', <Closed HDF5 dataset>), (u'beamSize', <Closed HDF5 dataset>), (u'cogX', <Closed HDF5 dataset>), (u'cogY', <Closed HDF5 dataset>), (u'height', <Closed HDF5 dataset>), (u'horProjAmp', <Closed HDF5 dataset>), (u'horProjAvg', <Closed HDF5 dataset>), (u'horProjSigma', <Closed HDF5 dataset>), (u'horProjection', <Closed HDF5 dataset>), (u'imageRawData', <Closed HDF5 dataset>), (u'imageTimeStamp', <Closed HDF5 dataset>), (u'intensityAvg', <Closed HDF5 dataset>), (u'intensityHistogram', <Closed HDF5 dataset>), (u'intensityRMS', <Closed HDF5 dataset>), (u'intensitySigma', <Closed HDF5 dataset>), (u'pixelSize', <Closed HDF5 dataset>), (u'verProjAmp', <Closed HDF5 dataset>), (u'verProjAvg', <Closed HDF5 dataset>), (u'verProjSigma', <Closed HDF5 dataset>), (u'verProjection', <Closed HDF5 dataset>), (u'width', <Closed HDF5 dataset>)]"
/AwakeEventData/BPM.AWAKE.TT41,"[(u'Acquisition', <Closed HDF5 group>)]"
/AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition,"[(u'currentAverage', <Closed HDF5 dataset>)]"
/AwakeEventData/PMOTOR04/Acquisition,"[(u'position', <Closed HDF5 dataset>)]"
/AwakeEventData/TT41.BPM.412345/Acquisition,"[(u'horAvePos', <Closed HDF5 dataset>), (u'horPos', <Closed HDF5 dataset>), (u'posOK', <Closed HDF5 dataset>), (u'sigma', <Closed HDF5 dataset>), (u'sigmaAvePos', <Closed HDF5 dataset>), (u'spsExtraction', <Closed HDF5 dataset>), (u'spsExtractionIndex', <Closed HDF5 dataset>), (u'verAvePos', <Closed HDF5 dataset>), (u'verPos', <Closed HDF5 dataset>)]"
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage,"[(u'beamIntensity', <Closed HDF5 dataset>), (u'beamSize', <Closed HDF5 dataset>), (u'cogX', <Closed HDF5 dataset>), (u'cogY', <Closed HDF5 dataset>), (u'height', <Closed HDF5 dataset>), (u'horProjAmp', <Closed HDF5 dataset>), (u'horProjAvg', <Closed HDF5 dataset>), (u'horProjSigma', <Closed HDF5 dataset>), (u'horProjection', <Closed HDF5 dataset>), (u'imageRawData', <Closed HDF5 dataset>), (u'imageTimeStamp', <Closed HDF5 dataset>), (u'intensityAvg', <Closed HDF5 dataset>), (u'intensityHistogram', <Closed HDF5 dataset>), (u'intensityRMS', <Closed HDF5 dataset>), (u'intensitySigma', <Closed HDF5 dataset>), (u'pixelSize', <Closed HDF5 dataset>), (u'verProjAmp', <Closed HDF5 dataset>), (u'verProjAvg', <Closed HDF5 dataset>), (u'verProjSigma', <Closed HDF5 dataset>), (u'verProjection', <Closed HDF5 dataset>), (u'width', <Closed HDF5 dataset>)]"
